Label;Opis
2;Do wynajęcia mieszkanie dwupokojowe z ogródkiem i garażem w Wilanowie Zawadach przy ul. Bruzdowej 100D. Mieszkanie gotowe do wynajęcia, dostępne od zaraz, częściowo umeblowane (kuchnia, łazienka i przedpokój). Wygodne, przestronne, w sypialni duża szafa, ogródek około 40 m2. Sypialnia o powierzchni 15 m2 z dużymi oknami i roletami. Do mieszkania przynależy miejsce parkingowe oraz duża komórka lokatorska na poziomie -1 w cenie 350 zł. Komunikacja autobusowa przy placu Vogla i ulicy Sytej, tam też znajduje się mini galeria, Lidl, Biedronka, restauracje, punkty usługowe, miejsca spotkań. Osiedle zamknięte z wyjściem i wyjazdem do Wału Zawadowskiego, tuż za wałem jest Wisła, dużo zieleni, miejsc do spacerów, trasa rowerowa, wiślańskie plaże. Podana cena jest bez czynszu administracyjnego, który wynosi 950 zł. Wymagany najem okazjonalny. Zapraszam Zobacz Wirtualny Spacer: https://panoramy.galactica.pl/virgo/423768Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa:  (licencja nr: 24900)
2;Wygodne, rozkładowe, częściowo umeblowane mieszkanie z balkonem po remoncie do wprowadzenia od zaraz. Doskonała lokalizacja - w pobliżu sklepy, punkty usługowe i szybki dojazd do Centrum. Wygodny wyjazd z miasta w każdym kierunku. Opis mieszkania. Mieszkanie składa się z przestronnego pokoju ok. 22 m2, oddzielnej kuchni 8 m2 i kompaktowej łazienki 4 m2. Nowe drzwi wejściowe, wycyklinowany parkiet, nowe kafle w kuchni i przedpokoju. Wygodny balkon z widokiem na zieleń. W pokoju brak mebli, w oknach rolety dzień-noc. Kuchnia całkowicie wyposażona po remoncie - szafki w zabudowie, płyta gazowa, piekarnik elektryczny, zmywarka, lodówko-zamrażarka wolno stojąca. Jest jeszcze miejsce na niewielki stół. Łazienka z wanną, umywalką i pralką. W przedpokoju szafa wnękowa, komoda z szufladami, szafka na buty, lustro, wieszaki i pawlacze. Wszystkie media z sieci sieci miejskiej. Opomiarowana woda, prąd i gaz. Ogrzewanie w ryczałcie. Możliwość podłączenia telewizji kablowej i Internetu.  Koszt najmu. Dla właściciela 1300 zł + dla administracji ok. 575 zł na (w tym zaliczka na wodę i opłata za ogrzewanie i śmieci) + zaliczka 100 zł na prąd i gaz. Łączny miesięczny koszt najmu to ok. 1975 zł + Internet i TV. Kaucja 2000 zł.  Uwaga: Powyższy opis mieszkania nie jest ofertą w rozumieniu kodeksu cywilnego. Dane o ofercie według informacji zgłaszającego - mogą odbiegać od stanu faktycznego. Biuro nie ponosi odpowiedzialności za niezgodność danych z rzeczywistością. Oferta może być w danym momencie nieaktualna. Dzień wykonania multimediów może być różny. Kontakt do pośrednika - Arletta Kolasińska tel. , mail: biuroarli@proton.me Zobacz Wirtualny Spacer: https://panoramy.galactica.pl/virgo/422894Pośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Arletta Kolasińska (licencja nr: 491)
2;Do wynajęcia mieszkanie 70m z tarasem o powierzchni 50m.Mieszkanie składa się:przestronny salon ok. 30m z wyjściem ma tarasduża kuchnia, na wpół otwarta przejście z salonupokój ok. 9mpokój ok. 12młazienka korytarzMieszkanie zaprojektowane przez architekta, jasne, ustawne.Dużo miejsca do przechowywania, zabudowa MDF, sprzęt AGD (Whirlpool, Bosch), zmywarka, piekarnik, alarm, klimatyzacja, tv, podłoga z deski dębowej. Częściowo umeblowane.Lokalizacja: okolice Ronda Wiatraczna, świetnie skomunikowane (pętla autobusowa i tramwajowa, 15 min tramwajem do ścisłego centrum), w pobliżu żłobki, przedszkola, szkoły, place zabaw oraz kultowy bazarek ze świeżymi produktami. Duży wybór usług w pobliżu. 5 min spacerem do Galerii Wiatraczna.Mieszkanie znajduje się na 4 piętrze, brak windy, możliwość wynajęcia miejsca postojowego w garażu za dodatkową opłatą.Miesięczny czynsz: 4500 zł (w cenie czynsz administracyjny, zaliczki na wodę i CO), dodatkowo płatny prąd. Kaucja w wysokości jednomiesięcznego czynszu.Agencjom z góry dziękuję, proszę nie dzwonić.We speak English.
2;Na wynajem - jasne i przytulne mieszkanie dwupokojowe na Natolinie - 67m2.Usytuowane na 3 piętrze w budynku z 2003 r.Mieszkanie jasne, słoneczne położone od strony południowo - zachodniej. Duży balkon.Teren osiedla zamknięty. Zadbany i zagospodarowany zielenią wewnętrzny dziedziniec. W budynku winda.Doskonała lokalizacja: 5 minut od stacji metra Natolin, wygodne połączenia autobusowe. Dookoła sklepy, restauracje, przedszkola, szkoły, kino.Rozkład mieszkania:- salon wyjściem na balkon połączony z aneksem kuchennym- przestronny przedpokój z szafą wnękową - loggia ok 8m2- duża sypialnia ok 20m2 - przestronna łazienka- mieszkanie wykończone, wyposażone i częściowo umeblowane- na podłodze drewniany parkiet- miejsce parkingowe w garażu podziemnym.Czynsz najmu 4000zł - w cenie czynsz administracyjny z zaliczkami i miejsce garażowe.Dodatkowo płatny prąd i gaz ( ok. 200 zł/ mc) oraz niedopłaty za wodę i ogrzewanie jeżeli wystąpią.Dostępne od zaraz, możliwość negocjacji ceny.  Zapraszam do kontaktu.
2;[PL/EN]           Piękne, stylowe i wysmakowane 4 pokojowe mieszkanie na wynajem w przedwojennej kamienicy w znakomitym punkcie komunikacyjnym - na rogu Puławskiej i Ksawerów na Mokotowie.ROZKŁAD          Mieszkanie składa się z 4 przestronnych i jasnych pomieszczeń, które można dowolnie zaaranżować według własnych preferencji. Wejście do wszystkich pokoi znajduje się w korytarzu, zapewniając prywatność i wygodę dla mieszkańców. Nowoczesna kuchnia urządzona w odcieniach zieleni zaspokoi oczekiwania nawet najbardziej wymagających osób. Łazienka wyposażona jest w wannę z funkcją prysznica oraz posiada elegancką podłogę w formie drobnej mozaiki. Trzy balkony oraz garderoba są dodatkowymi atutami tego mieszkania. Dodatkowo, do nieruchomości przynależy duża piwnica w tej samej klatce, stanowiąca idealne miejsce do przechowywania różnych przedmiotów.STANDARD          Mieszkanie zostało właśnie nowo wyremontowane i wykończone w wysokim standardzie, z dbałością o najdrobniejsze detale, które oddają historyczny klimat tego miejsca. Naturalny parkiet dębowy, starannie odrestaurowany, pokrywa podłogi nadając im wyjątkowego uroku. Oryginalne zabytkowe drzwi, wyposażone są w zabytkowe klamki, które został poddane drobiazgowej renowacji, zachowują autentyczność i dodają charakteru temu miejscu. Uwagę zwracają wysokie sufity, które nadają przestrzeni, przestronności i elegancji.WYPOSAŻENIE          Mieszkanie jest częściowo umeblowane, jednak na życzenie klienta istnieje możliwość zabrania mebli lub też ich uzupełnienia. Dzięki temu, nowi mieszkańcy będą mieli pełną swobodę w aranżacji przestrzeni według swoich potrzeb i gustu.LOKALIZACJA          Mieruchomość wyróżnia znakomita lokalizacją na Mokotowie. W bliskim sąsiedztwie znajduje się Park Arkadia oraz Królikarnia. Ponadto, mieszkanie posiada doskonałe połączenie komunikacyjne z centrum Warszawy, umożliwiając szybki i wygodny dostęp do wszystkich form transportu publicznego, w tym również do stacji metra, znajdującej się w pobliżu (około 650m).W okolicy nieruchomości znajduje się również bogata infrastruktura handlowo-usługowa, z licznymi sklepami, restauracjami i innymi punktami usługowymi.Dla fanów sportu - w pobliżu: park wodny, centrum futbolu, korty tenisowe, klub szermierczy, fitness.DODATKOWE INFORMACJE          Najem od osoby prywatnej. W cenie najmu zawarty czynsz administracyjny. W cenie piwnica. Do ceny najmu należy doliczyć opłaty za media według zużycia. Dostępne wideo          https://youtu.be/7YkxtCkDeBMPODSUMOWANIE          Z całego serca polecam tę wyjątkową nieruchomość osobom pracującym na wysokich stanowiskach dyplomatycznych, menedżerom oraz wszystkim klientom o wysokich wymaganiach. Jeśli szukasz mieszkania, które łączy w sobie styl, komfort, doskonałą lokalizację i unikalny klimat przedwojennej Warszawy, to ta oferta jest dla Ciebie. Zapraszam serdecznie do obejrzenia i wynajęcia tego wyjątkowego mieszkania.-------ENGLISH DESCRIPTIONBeautiful, stylish and sophisticated 4 bedroom apartment for rent in a pre-war building in an excellent transportation point - on the corner of Pulawska and Ksawerów Streets in Mokotow.ROOM LAYOUT          The apartment consists of 4 spacious and bright rooms, which can be freely arranged according to your preferences. The entrance to all rooms is located in the corridor, providing privacy and convenience for residents. The modern kitchen decorated in shades of green will satisfy even the most demanding people. The bathroom is equipped with a bathtub with shower function and has an elegant floor in the form of fine mosaic tiles. Three balconies and a dressing room are additional assets of this apartment.In addition, the property includes a large basement in the same staircase, providing an ideal place to store various items.STANDARD          The apartment has just been newly renovated and finished to a high standard, with attention to the smallest details that reflect the historic atmosphere of the place. Natural oak parquet, carefully restored, covers the floors giving them a unique charm. The original antique doors, equipped with antique handles, which has been meticulously restored, retain their authenticity and add to the character of the place. Attention is drawn to the high ceilings, which give space, spaciousness and elegance.EQUIPMENT          The apartment is partially furnished, but it is possible to take the furniture or add to it upon request. Thus, the new residents will have full freedom to arrange the space according to their needs and taste.LOCATION          The property is distinguished by its excellent location in Mokotów. In close proximity to the Arkadia Park and Królikarnia. In addition, the apartment has excellent transport links to the center of Warsaw, allowing quick and convenient access to all forms of public transport, including the subway station, located nearby (about 650m).In the vicinity of the property there is also a rich retail and service infrastructure, with numerous stores, restaurants and other service outlets.For sports fans - nearby: water park, soccer center, tennis courts, fencing club, fitness center.ADDITIONAL INFORMATION          Lease from a private individual. In the rental price included administrative rent. The price includes a basement. To the rental price should be added utility charges according to consumption. Video available          https://youtu.be/7YkxtCkDeBMSUMMARY          I wholeheartedly recommend this exceptional property to people working in high diplomatic positions, managers and all clients with high expectations.DODATKOWE INFORMACJE:          Typ własności: własność          Materiał budowlany: cegła          Standard: wysoki          Typ podłogi: parkiet          Typ ścian: gładź gipsowa          Liczba sypialni: 3          Liczba pokoi: 4          Piętro: 3          Liczba pięter: 4          Rok budowy: 1937          Ogrzewanie: miejskie          Kominek: nie          Piwnica: tak          Typ balkonu: jest          Typ łazienki: z wc          Typ budynku: kamienica          Głośność: jednostronnie ciche          Klatka schodowa: czysta          Typ parkingu: przy ulicy          Stan lokalu: po remoncie          Meble: tak          Domofon: tak          Winda: nie          Ochrona: nie          Ostatnie piętro: nie          Dwupoziomowe: nie          Wysokość: 300DANE KONTAKTOWE:          Leszek Rakowski ,           leszek@nprestige.plORGANIZUJEMY PREZENTACJE ONLINE ORAZ WIDEOZ uwagi na panujące zagrożenie epidemiologiczne w sposób szczególny dbamy o Państwa bezpieczeństwo.          Organizujemy zdalne wizyty za pośrednictwem popularnych komunikatorów oraz posiadamy wiele filmów naszych nieruchomości.Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.          Jako profesjonalna Agencja Nieruchomości pobieramy prowizję w przypadku zawarcia umowy najmu lub sprzedaży.PRESTIGE REAL ESTATE - WYNAJEM DŁUGOTERMINOWY i SPRZEDAŻ NIERUCHOMOŚCI PREMIUMNasze specjalizacje: mieszkania na wynajem i sprzedaż w Warszawie, luksusowe domy na sprzedaż i wynajem, nieruchomości dla firm i ambasad, obsługa ekspatów, sprzedaż luksusowych nieruchomości Premium.Więcej szczegółów oraz ofert naszej stronie internetowej nprestige.pl_______          English:WE ORGANIZE ONLINE AND VIDEO PRESENTATIONS          Ask about a remote visit.The content of this announcement does not constitute an offer within the meaning of the Civil Code.          As a professional Real Estate Agency, we charge a commission.Prestige Real Estate Agency - Apartments and houses for rent or sell in Warsaw.Our specialization:          Luxury properties for rent or sell in Warsaw, apartments and houses for embassy employees and expats, penthouses with best views in Warsaw, houses near American, British and French schools.For more visit our website prestige-real-estate.pl
2;Ogłoszenie dla osób pracującychOferujemy do wynajęcia 3-pokojowe mieszkanie na 1 piętrze w bloku przy ul. Bohaterów Westerplatte 7.mieszkanie po remoncie.W skład mieszkania wchodzi pokój dzienny o powierzchni ok 16 m. kw., sypialnia o powierzchni 8 m.kw., oraz mały pokój o powierzchni ok. 7 m.kw., oddzielna kuchnia, łazienka połączona z wc. Pomieszczenia bardzo ustawne.Mieszkanie częściowo umeblowane i wyposażone. Kuchnia w pełni umeblowana i wyposażona.Świetna lokalizacja, blisko rynku, szkoły, basenu, dobra komunikacja miejska,Czynsz najmu 1750 zł + czynsz administracyjny 440/ mc + prądKaucja zwrotna 2300 zł.Minimalna umowa 12 miesięcy.Mieszkanie jest idealne dla pracujących osób bez zwierząt.Oferta wyłączna FIESTA ZN w ramach zarządzania najmem- zarządzanienajmem eu.POLECAM I ZAPRASZAM DO OGLĄDANIAProszę o kontakt telefoniczny od poniedziałku do piątku w godzinach 9-18Paweł Goniewicztel. *Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów kodeksu cywilnego.*Oferta wysłana z programu dla biur nieruchomości ASARI CRM (asaricrm.com)
2;Mieszkanie dobrze doświetlone, o funkcjonalnym rozkładzie, położone w budynku Atanera, przy ul. Półwiejskiej 17. Składa się z pokoju dziennego połączonego z aneksem kuchennym i wyjściem na balkon,  niezależnej sypialni, przedpokoju i łazienki. Mieszkanie zadbane, częściowo umeblowane.  Istnieje możliwość wynajęcia miejsca postojowego w hali garażowej przy czynszu 300 zł/m-c. Dodatkowo najemca może, korzystać z zamykanego korytarza, obsługującego wejście do dwóch mieszkań.Czynsz najmu 1600 zł/m-c plus opłaty do administracji na poziomie 900 zł/m-c. Dodatkowo opłaty za energię elektryczną. Wymagana kaucja oraz umowa najmu okazjonalnego.Regulamin najmu wyklucza możliwość posiadania zwierząt przez najemców. W mieszkaniu obowiązuje całkowity zakaz palenia.Oferta wyłączna FIESTA ZN w ramach zarządzania najmem  - zarzadzanienajmem.euZapraszam na prezentację.Ryszard HornTel. *Niniejsze ogłoszenie nie stanowi oferty handlowej w rozumieniu przepisów kodeksu cywilnego.*Oferta wysłana z programu dla biur nieruchomości ASARI CRM (asaricrm.com)
2;3-pokojowe mieszkanie | Idealne na biuro | W samym sercu PowiślaWidne i przestronne mieszkanie zlokalizowane w samym sercu miasta to doskonała propozycja dla osób szukających komfortowego pod kątem infrastruktury i lokalizacji adresu na biuro, kancelarię, showroom lub po prostu do zamieszkania.Mieszkanie z ekspozycją zachodnią jest wysokie, częściowo umeblowane i składa się z:- 3 pokoi- oddzielnej kuchni- łazienki- balkonuLokalizacja :Mieszkanie zlokalizowane jest w samym sercu Powiśla, w jednym z najpopularniejszych miejsc spotkań warszawiaków, niedaleko centrum miasta, Bulwarów Wiślanych i terenów zielonych. To doskonały punkt komunikacyjny, zarówno dla osób poruszających się po mieście samochodem, jak i tych, wybierających inne środki transportu, takie jak autobus, czy metro.Do czynszu najmu należy doliczyć czynsz administracyjny w wysokości 1550 zł.Media dodatkowo płatne.Mieszkanie dostępne od zaraz.Serdecznie zapraszam na prezentację.
2;| Czteropokojowe mieszkanie, częściowo umeblowane położone na ogrodzonym osiedlu w pobliżu Urzędu Dzielnicy Włochy. Osiedle jest bezpieczne, ładnie zagospodarowane, pełne zieleni, z placem zabaw dla dzieci. Z pokoju dziennego jest wyjście na balkon (ok. 8 mkw) a z jednej z sypialni wyjście do ogródka około 60mkw.  Jeden pokój jest przejściowy (salon ok. 19mkw), trzy sypialnie (10 mkw, 10,5mkw, 12mkw), oddzielna, widna  kuchnia (prawie 10mkw), łazienka i osobno toaleta.  Do mieszkania przynależy jedno miejsce parkingowe naziemne na terenie osiedla, za dodatkową opłatą można korzystać z miejsca na parkingu podziemnym. Mieszkanie nadaje się do zamieszkania dla rodziny z dziećmi, w okolicy jest kilka przedszkoli, są szkoły podstawowe oraz pełna infrastruktura handlowo-usługowa. W budynku znajduje się pomieszczenie typu wózkownia/rowerownia.   Czynsz najmu 5000zł, dodatkowo płatne opłaty do spółdzielni - aktualnie ok. 1200zł oraz prąd, gaz. Wymagana kaucja zabezpieczająca i umowa najmu okazjonalnego. Propozycja skierowana w szczególności do rodzin z młodszymi pociechami - w pobliżu przedszkola publiczne i niepubliczne oraz szkoła podstawowa, a także niezbędna infrastruktura bytowa. ::DODATKOWE INFORMACJE | Rodzaj budynku: nowe budownictwo | Dozór budynku: Ochroniarz - osiedle strzeżone | Głośność: ciche | Plac zabaw: TAK | Widok: na podwórko | Gaz: tak - miejski | Woda: tak - miejska | Dojazd: asfaltowa/kostka | Otoczenie: działki zabudowane | Ogrzewanie: miejskie | Komunikacja publ.: tramwaj, autobus miejski | Usytuowanie: środkowe | Drzwi antywłamaniowe: TAK | Naziemn. miejsc parking.: 1 | Teren ogrodzony: TAK | Opłaty w czynszu: zużycie energii elektrycznej, wywóz nieczystości, woda ciepła, woda, ogrzewanie, gaz, fundusz remontowy | Opłaty wg liczników: Woda zimna, Woda ciepła, prąd, gaz | Rodzaj mieszkania: jednopoziomowe | Garaż: miejsce parkingowe | Wystawa okien: Zach, Wsch, Pd | Stan lokalu: dobry | Balkon: duży | Liczba balkonów: 1 | Powierzchnia balkonów/tarasów [m2]: 8 | Powierzchnia ogródka [m2]: 60 | Rok budowy: 2001 | Liczba pokoi: 4 | Wysokość pomieszczeń [m]: 2,6900 | Liczba sypialni: 3 | Kaucja zabezp. [zł]: 6000 | ::LINK DO STRONY | http://www.wigro.pl/oferta.aspx?id=5378182::KONTAKT DO AGENTA | Barbara Murawska |  | barbara.murawska@wigro.pl::DANE BIURA | Agencja Nieruchomości Wigro Groszyk AGR - Oddział I w Warszawie | ul. Elektoralna 11 lok.5 | 00-137 Warszawa |  | www.wigro.pl
2;Szanowni Państwo,Biuro Nieruchomości JWG ma przedstawia ofertę wynajmu komfortowego 2 pokojowego mieszkania, położonego przy ulicy Pułaskiego w Toruniu.Parametry oferty:- Lokalizacja: Toruń, ul. Pułaskiego- Powierzchnia: 2 pokoje- Dostępność: od 1 sierpnia 2023 r.Opłaty miesięczne:- Czynsz najmu za mieszkanie: 1800 zł- Opcjonalnie: Czynsz najmu za miejsce postojowe: 150 zł- Czynsz do wspólnoty mieszkaniowej (dla dwóch osób): około 650 zł- Szacunkowa opłata za prąd: 150 zł- Prowizja biura nieruchomości (jednorazowo, po podpisaniu umowy najmu): 1800 złOpis mieszkania:To przepiękne dwupokojowe mieszkanie składa się z sypialni o powierzchni 15 m2, salonu z aneksem kuchennym o powierzchni 26 m2, łazienki o powierzchni 5 m2 oraz korytarza o powierzchni 7,5 m2. Mieszkanie jest częściowo umeblowane (bez sypialni), jednak oferuje nowe meble kuchenne oraz sprzęty AGD. Pokój dzienny i łazienka są w pełni wyposażone. Dodatkowe udogodnienia:Do Państwa dyspozycji znajduje się miejsce postojowe w garażu pod budynkiem, co zapewnia wygodę i bezpieczeństwo dla Państwa samochodu.Lokalizacja:Mieszkanie znajduje się w cichej i spokojnej okolicy, a jednocześnie posiada doskonałe połączenia komunikacyjne. Bliskość Galerii Copernicus, szkół, przedszkoli oraz parków czyni tę ofertę niezwykle atrakcyjną dla osób poszukujących wygodnego miejsca do zamieszkania.Jeśli są Państwo zainteresowani tą ofertą lub mają Państwo jakiekolwiek pytania, serdecznie zapraszamy do skontaktowania się z naszym przedstawicielem, Januszem Górskim. Chętnie umówimy się na prezentację mieszkania i udzielimy odpowiedzi na wszystkie pytania.Dziękujemy za zainteresowanie naszą ofertą i liczymy na możliwość nawiązania współpracy.Z poważaniem,Biuro Nieruchomości JWG
